"","country","year","GOV_Cab_LR","Cab_LR_lag1","Cab_LR_lag2","Cab_LR_lag3","Cab_LR_lag4","Cab_LR_lag5","dyn_cab_LR1","dyn_cab_LR2","dyn_cab_LR3","dyn_cab_LR4","dyn_cab_LR5","pall","gdp_pc","econ_dev","delta_ineq","yearly_net_migration","Country","EFindex","democracy","group"
"604",250,1968,11.2743997573853,11.4813346862793,10.4738903045654,9.113112449646,7.75233459472656,6.39155673980713,-0.206934928894043,1.00744438171387,1.36077785491943,1.36077785491943,1.36077785491943,0.4717554903,22033.7,0.0572259765722506,-0.00981791550000005,98322.6,NA,NA,1,NA
"605",250,1969,10.2121114730835,11.2743997573853,11.4813346862793,10.4738903045654,9.113112449646,7.75233459472656,-1.06228828430176,-0.206934928894043,1.00744438171387,1.36077785491943,1.36077785491943,0.4619375748,23294.6,0.0437483365243448,-0.00763705449999996,98322.6,NA,NA,1,NA
"606",250,1970,8.84612369537354,10.2121114730835,11.2743997573853,11.4813346862793,10.4738903045654,9.113112449646,-1.36598777770996,-1.06228828430176,-0.206934928894043,1.00744438171387,1.36077785491943,0.4543005203,24313.7,0.0426878673340544,-0.00254502509999999,108614.4,NA,NA,1,NA
"607",250,1971,7.48013687133789,8.84612369537354,10.2121114730835,11.2743997573853,11.4813346862793,10.4738903045654,-1.36598682403564,-1.36598777770996,-1.06228828430176,-0.206934928894043,1.00744438171387,0.4517554952,25351.6,0.0330353902712255,-0.00532231780000003,108614.4,NA,NA,1,NA
"608",250,1972,6.11414957046509,7.48013687133789,8.84612369537354,10.2121114730835,11.2743997573853,11.4813346862793,-1.3659873008728,-1.36598682403564,-1.36598777770996,-1.06228828430176,-0.206934928894043,0.4464331774,26189.1,0.0540262933815977,0.0099617441,108614.4,NA,NA,1,NA
"625",250,1973,5.52224922180176,6.11414957046509,7.48013687133789,8.84612369537354,10.2121114730835,11.2743997573853,-0.59190034866333,-1.3659873008728,-1.36598682403564,-1.36598777770996,-1.06228828430176,0.4563949215,27604,0.0355854224025503,-0.00402361470000001,108614.4,NA,NA,1,NA
"626",250,1974,5.3079400062561,5.52224922180176,6.11414957046509,7.48013687133789,8.84612369537354,10.2121114730835,-0.214309215545654,-0.59190034866333,-1.3659873008728,-1.36598682403564,-1.36598777770996,0.4523713068,28586.3,-0.02098207882797,-0.00512403899999997,108614.4,NA,NA,1,NA
"627",250,1975,5.2193489074707,5.3079400062561,5.52224922180176,6.11414957046509,7.48013687133789,8.84612369537354,-0.0885910987854004,-0.214309215545654,-0.59190034866333,-1.3659873008728,-1.36598682403564,0.4472472678,27986.5,0.0352812963393065,-0.00626527770000002,51685.8,NA,NA,1,NA
"628",250,1976,5.48548126220703,5.2193489074707,5.3079400062561,5.52224922180176,6.11414957046509,7.48013687133789,0.266132354736328,-0.0885910987854004,-0.214309215545654,-0.59190034866333,-1.3659873008728,0.4409819901,28973.9,0.0258819144126265,-0.0204096482,51685.8,NA,NA,1,NA
"609",250,1977,5.66964912414551,5.48548126220703,5.2193489074707,5.3079400062561,5.52224922180176,6.11414957046509,0.184167861938477,0.266132354736328,-0.0885910987854004,-0.214309215545654,-0.59190034866333,0.4205723419,29723.8,0.0286840848074608,-0.0109091645,51685.8,NA,NA,1,NA
